Team,Match,Alliance,(A)Start:Low Bar,(A)Start:Cheval de Frise,(A)Start:Portcullis,(A)Start:Moat,(A)Start:Ramparts,(A)Start:Drawbridge,(A)Start:Sally Port,(A)Start:Rock Wall,(A)Start:Rough Terrain,(A)Spy,(A)Cross,(A)Reach,(A)Foul,(A)Tech Foul,(A)Passage High,(A)Passage Low,(A)Center High,(A)Far,(A)Bar High,(A)Bar Low,(A)Miss,(T)Cross:Low Bar,(T)Cross:Cheval de Frise,(T)Cross:Portcullis,(T)Cross:Moat,(T)Cross:Ramparts,(T)Cross:Drawbridge,(T)Cross:Sally Port,(T)Cross:Rock Wall,(T)Cross:Rough Terrain,(T)Help:Low Bar,(T)Help:Cheval de Frise,(T)Help:Portcullis,(T)Help:Moat,(T)Help:Ramparts,(T)Help:Drawbridge,(T)Help:Sally Port,(T)Help:Rock Wall,(T)Help:Rough Terrain,(T)Pin,(T)Block Shot,(T)Steal Ball,(T)Block Cross,(T)Foul,(T)Tech Foul,(T)Passage High,(T)Passage Low,(T)Center High,(T)Far,(T)Bar High,(T)Bar Low,(T)Miss,(T)Challenge,(T)Scale,(F)Total Score1,(F)Total Score2,(F)Total Score3,(F)Win,(F)Breach,(F)Capture,
5803,6,Blue 2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,
5495,6,Blue 3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,6,1,1,0,
3024,7,Red 1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,
2471,7,Red 2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,
2980,7,Red 3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,
3663,7,Blue 1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,
955,7,Blue 2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,
4077,7,Blue 3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,1,0,
4132,8,Red 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3826,8,Red 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
